RDATA,0x00189E40,0x0017A000
DATA,0x001D0660,0x001C1000
MDLPL,0x00AAFF40,0x01C8D000
MDLB1,0x00D80280,0x0239A000
MDLB10,0x00E56C60,0x0296A000
MDLB2,0x00F90AA0,0x02471000
MDLB3,0x01080A20,0x02561000
MDLB4,0x0115EE60,0x02640000
MDLB5,0x011CA300,0x026A0000
MDLB6,0x012BF680,0x027A2000
MDLB8,0x01355AE0,0x02839000
MDLB9,0x01413B80,0x028F8000
MDLEN,0x01485A40,0x01F5E000
MDLB102,0x018C1960,0x0037B000
MAP13,0x0191EFE0,0x006E0000
MAP12,0x01AD72C0,0x0055E000
MAP11,0x01C58640,0x003E1000
MDLR2,0x01DD52E0,0x00CAC000
MAP23,0x01DF5240,0x00B48000
MAP22,0x01F58FE0,0x009F7000
MAP21,0x020A9B20,0x00899000
MAP33,0x02206D40,0x00E5E000
MAP32,0x0230AD00,0x00D9F000
MAP31,0x023C9BC0,0x00CCC000
MDLR4,0x0249C0E0,0x01186000
MAP43,0x024A2F00,0x010AA000
MAP42,0x0257E040,0x01003000
MAP41,0x02625040,0x00F62000
MDLR5,0x026C5660,0x0143E000
MAP53,0x026C6D00,0x0133F000
MAP52,0x027C5C00,0x01274000
MAP51,0x02890580,0x0118D000
MDLR6,0x029772C0,0x017DC000
MAP63,0x029961C0,0x016A7000
MAP62,0x02ACA9E0,0x0155A000
MAP61,0x02C17580,0x01440000
MDLR8,0x02D30B20,0x01A51000
MAP83,0x02D735A0,0x01977000
MAP82,0x02E4D1A0,0x018A7000
MAP81,0x02F1C680,0x017FB000
MDLR9,0x02FC79C0,0x01C58000
MAP93,0x02FFC520,0x01BD1000
MAP92,0x030826E0,0x01B2C000
MAP91,0x03126C40,0x01A94000
